depth,base_ch,epochs,batch_size,clip_len,channel,cv,train_acc,test_acc,train_time_s,test_time_s,params_M
1,8,30,32,64,T7,random,0.3151221403644824,0.2851271712158809,153.9790244102478,0.5146505832672119,0.0021
2,8,30,32,64,T7,random,0.37448623497479644,0.34568858560794047,217.74013543128967,0.6107652187347412,0.002428
2,16,30,32,64,T7,random,0.4065723148507173,0.35080645161290325,212.77356719970703,0.6253361701965332,0.005492
3,8,30,32,64,T7,random,0.37952694842962387,0.3459987593052109,260.12594389915466,0.6588790416717529,0.002756
3,16,30,32,64,T7,random,0.4316789453276464,0.3771712158808933,351.7763512134552,0.9004650115966797,0.006788
